OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,x,y
2492,H0354,Narrows 2,0,Yuba County Water Agency,Yuba,55,1,WAT,6/5/1970 0:00,-121.2703519,39.23903734
2493,H0005,Alta,0,Pacific Gas & Electric (PG&E),Placer,2,"1, 2",WAT,11/1/1902 0:00,-120.8035115,39.21598098
2494,H0095,Chicago Park,0,Nevada Irrigation District,Nevada,44,UNIT 1,WAT,11/1/1965 0:00,-120.8910418,39.17811549
2495,H0133,Deer Creek,0,Pacific Gas & Electric (PG&E),Nevada,5.5,1,WAT,5/1/1908 0:00,-120.8441582,39.29811858
2496,H0156,Dutch Flat #1,0,Pacific Gas & Electric (PG&E),Placer,22,Unit 568,WAT,3/29/1943 0:00,-120.8356504,39.21696738
2497,H0157,Dutch Flat 2,0,Nevada Irrigation District,Nevada,27.3,UNIT 1,WAT,11/1/1965 0:00,-120.8353231,39.21834872
2498,H0347,Scotts Flat (860kW Nameplate Capacity),0,Nevada Irrigation District,Nevada,1,7P,WAT,2/1/1985 0:00,-120.932508,39.27211082
2499,H0424,Rollins,0,Nevada Irrigation District,Nevada,13.5,UNIT 1,WAT,8/1/1980 0:00,-120.9532567,39.13426831
2500,H0154,Drum #1,0,Pacific Gas & Electric (PG&E),Placer,55.5,"Unit 563, Unit 564, Unit 565, Unit 566",WAT,11/26/1913 0:00,-120.7672907,39.2568514
2501,H0155,Drum #2,0,Pacific Gas & Electric (PG&E),Placer,49.5,Unit 567,WAT,12/18/1965 0:00,-120.7668888,39.25734281
2502,G0294,Kings Beach - Retired 12/31/2002,1,Sierra Pacific Resources,Placer,16.5,"Unit 1, Unit 2, Unit 3, Unit 4, Unit 5, Unit 6",OIL,1/1/1969 0:00,-120.0267469,39.24604885
2503,E0039,Fort Bragg Western Wood Products - Retired December 2001,1,Georgia Pacific Corp,Mendocino,15,GEN1,WDS,1/1/1980 0:00,-123.8110413,39.44383132
2504,H0401,Potter Valley,0,Pacific Gas & Electric (PG&E),Mendocino,9.46,"1, 2, 3",WAT,2/1/1939 0:00,-123.1279555,39.36180738
