OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,x,y
1865,S0335,Corcoran 2 Solar LLC CED,0,CED California Holdings LLC,Kings,19.8,1,SUN,6/10/2015 0:00,-119.567893,36.13716961
1866,S0520,Corcoran 3 Solar,0,CED California Holdings LLC,Kings,20,Unit 1,SUN,2/11/2016 0:00,-119.5797122,36.14431894
1867,C0007,Hanford - Retired October 2011,1,Hanford LP,Kings,24,GEN 1,PC,9/1/1990 0:00,-119.6483915,36.26964013
1868,G0832,Hanford Energy Park Peaker,0,"MRP San Joaquin Energy, LLC",Kings,92,"1, 2",NG,9/1/2001 0:00,-119.6474373,36.27030812
1869,S0608,Exeter Solar,0,Tulare PV I LLC,Tulare,3.5,ES,SUN,2/12/2014 0:00,-119.128325,36.26629779
1870,S0609,Lindsay Solar,0,Tulare PV I LLC,Tulare,4,LS,SUN,1/15/2014 0:00,-119.1339997,36.21177821
1871,S9325,ImModo California 1 LLC_(East Orosi 1),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,-119.0399436,36.10371743
1872,S9326,ImModo California 1 LLC_(East Orosi 2),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,-119.0387897,36.1016196
1873,S9327,ImModo California 1 LLC_(East Orosi 3),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,-119.0373472,36.09973362
1874,S0151,Porterville Solar,0,Tulare PV I LLC,Tulare,3.5,PS,SUN,1/13/2014 0:00,-119.039671,36.10278037
1875,S0518,Sequoia PV3,0,Coronal Group LLC,Tulare,3,Porterville6&7,SUN,8/1/2014 0:00,-119.0367638,36.09882123
1876,H0525,Tule River,0,Southern California Edison (SCE),Tulare,2.52,"1, 2",WAT,9/1/1909 0:00,-118.7888215,36.13568994
1877,H0523,Tule,0,Pacific Gas & Electric (PG&E),Tulare,8.5,"1, 2",WAT,1/1/1914 0:00,-118.7070939,36.16307556
1878,H0216,Haiwee,0,Los Angeles Department of Water & Power (LADWP),Inyo,6.4,"Unit 1, Unit 2",WAT,7/1/1927 0:00,-117.9568257,36.1099539
1879,S9163,CA Dept of Correctionns Salinas (SVSP),0,Not Available,Monterey,2,1,SUN,1/1/2013 0:00,-121.3694531,36.47228282
1880,E0089,Soledad Energy - Retired Jan 2006,1,Soledad Energy LLC,Monterey,13.4,BBC 13.4,WDS,7/15/2000 0:00,-121.3155969,36.41628864
1881,W0455,City of Soledad,0,See WPRS for details,Monterey,1,WPRS 1,WND,12/31/1989 0:00,-121.3401411,36.4209101
1882,S0176,Cantua Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20,1,SUN,6/19/2012 0:00,-120.3423065,36.42342829
1883,S0458,Buford Five Points Solar Park (Excelsior),0,Clenera - Renewable Energy,Fresno,60,W5015,SUN,8/23/2016 0:00,-120.2427653,36.39668324
1884,S0138,Westside Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20,Unit 1,SUN,8/31/2010 0:00,-120.1255006,36.37768624
1885,S0140,Five Points Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,15,Unit 1,SUN,10/24/2011 0:00,-120.1075072,36.39500659
1886,S0563,Westside Solar LLC,0,Whitney Point Solar,Fresno,20,Unit 1,SUN,3/8/2017 0:00,-120.136151,36.38174843
1887,S0564,Whitney Point Solar LLC,0,Whitney Point Solar,Fresno,20,Unit 1,SUN,4/14/2017 0:00,-120.1363266,36.37508121
1888,S9018,Warmer Packing LLC,0,Not Available,Kings,1,1,SUN,1/1/2012 0:00,-119.7418439,36.40332643
1889,S0517,Sequoia PV2,0,Coronal Group LLC,Tulare,3,Hanford 1&2,SUN,8/29/2014 0:00,-119.6308046,36.30647202
1890,S9033,Jackson Michael,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,-119.6086841,36.47175891
1891,S9076,George Jackson,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,-119.6129412,36.4670419
1892,S0222,RE North Face,0,PureGen Power,Tulare,1,1,SUN,4/1/2009 0:00,-119.4007766,36.35446195
1893,S0633,Visalia USD El Diamante HS,0,Tesla Inc.,Tulare,1.01,93210617-CA,SUN,5/25/2017 0:00,-119.3486567,36.30599595
1894,S9038,Beret & Kees Jan De Jong,0,Not Available,Tulare,1,1,SUN,1/1/2012 0:00,-119.345839,36.47224943
1895,E0101,MM Tulare Energy LLC,0,MM Tulare LLC,Tulare,1.8,Gen 1-2,LFG,5/1/1998 0:00,-119.3944951,36.38843952
1896,G0288,Kaweah Delta District Hospital,0,Kaweah Delta Hospital,Tulare,3.5,1,NG,1/1/1984 0:00,-119.2963701,36.32801645
1897,S0348,Ivanhoe Solar,0,Tulare PV I LLC,Tulare,3.5,IS,SUN,1/17/2014 0:00,-119.2551813,36.38735307
1898,S0516,Farmersville (Formerly Sequoia PV1),0,CD Arevon USA Inc.,Tulare,12,"Farmersville 1, Farmersville 2, Farmersville 3, Farmersville123, Tulare1&2",SUN,1/1/2019 0:00,-119.2139008,36.31837936
1899,S0693,Tulare (Formerly Sequoia PV1),0,CD Arevon USA Inc.,Tulare,3,"Tulare 1, Tulare 2",SUN,1/1/2019 0:00,-119.2132397,36.31854817
1900,H0262,Terminus Hydroelectric Project,0,Kaweah River Power Authority,Tulare,20,1,WAT,3/16/1990 0:00,-119.0069603,36.41543769
1901,H0259,Kaweah 1,0,Southern California Edison (SCE),Tulare,1,1,WAT,5/1/1990 0:00,-118.8619232,36.46525579
1902,H0260,Kaweah 2,0,Southern California Edison (SCE),Tulare,1.8,2,WAT,9/1/1929 0:00,-118.8798063,36.46156754
1903,H0116,Cottonwood,0,Los Angeles Department of Water & Power (LADWP),Inyo,2.8,"Unit 1, Unit 2",WAT,11/1/1908 0:00,-118.0435542,36.44346899
1904,S9028,CSU Monterey Bay - PV,0,Not Available,Monterey,1,1,SUN,1/1/2012 0:00,-121.7890482,36.64775046
1905,S9063,Community Hospital of Monterey Peninsula,0,Not Available,Monterey,1,1,SUN,1/1/2012 0:00,-121.9132743,36.57971873
1906,S9071,Salinas Valley Memorial Hospital,0,Not Available,Monterey,1,1,SUN,1/1/2012 0:00,-121.6471272,36.65941738
1907,S9040,Wines US Inc. Constellation,0,Not Available,Monterey,1,1,SUN,1/1/2012 0:00,-121.4340179,36.50335404
1908,E0255,Ameresco Johnson Canyon,0,Ameresco Inc,Monterey,1.42,Unit 1,LFG,11/23/2012 0:00,-121.4061318,36.53312981
1909,W0457,Taylor Farms,0,See WPRS for details,Monterey,1,WPRS 1,WND,12/31/1989 0:00,-121.4515761,36.50521623
1910,S0635,Panoche Valley Solar,0,CED California Holdings LLC,San Benito,140,Unit 1,SUN,12/29/2017 0:00,-120.8881855,36.63127382
1911,G0905,Wellhead Power Panoche LLC,0,Wellhead Power Panoche LLC/Gates LLC,Fresno,49.9,1,NG,12/14/2001 0:00,-120.5797981,36.65410151
1912,G0908,Panoche - CalPeak Power,0,CalPeak Power - Panoche,Fresno,49.62,3,NG,12/27/2001 0:00,-120.5783736,36.65353577
1913,G0997,Panoche Energy Center,0,Panoche Energy Center LLC,Fresno,400,"CT-1, CT-2, CT-3, CT-4",NG,7/1/2009 0:00,-120.5843371,36.65129505
1914,G0998,Midway LLC - Starwood Power - CalPeak Power,0,CalPeak Power LLC,Fresno,120,"Unit 1, Unit 2",NG,5/5/2009 0:00,-120.5807125,36.65301651
1915,S0588,Buford Giffen Solar,0,Not Available,Fresno,20,Unit 1,SUN,6/16/2017 0:00,-120.3391471,36.55347626
1916,S0178,Giffen Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,10,1,SUN,6/30/2012 0:00,-120.3136104,36.52960867
1917,S0312,Adams East  LLC,0,Onward Energy,Fresno,19,1,SUN,12/1/2014 0:00,-120.3850459,36.61553056
1918,S0526,Tranquillity LLC,0,Southern Power Company,Fresno,200,TRQS1,SUN,7/28/2016 0:00,-120.4006145,36.57798593
1919,S0605,Giffen Solar Park LLC,0,Clenera - Renewable Energy,Fresno,20,W5512,SUN,5/22/2017 0:00,-120.3452996,36.5483347
1920,S0616,Aspiration Solar,0,S-Power (Sustainable Power Group),Fresno,9,Unit 1,SUN,9/13/2017 0:00,-120.3454512,36.54836655
1921,S0653,Great Valley Solar Portfolio (Tranquillity 8),0,Great Valley Solar Portfolio Holdings LLC,Fresno,200,"Amarillo, Azul, Rojo, Verde",SUN,12/26/2017 0:00,-120.3832696,36.57834813
1922,G0904,Fresno Cogeneration Partners  LP PKR,0,Fresno Cogeneration Partners,Fresno,21.3,UNIT 3,NG,8/16/2001 0:00,-120.0998835,36.61701393
1923,S0139,Stroud Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20,Unit 1,SUN,10/26/2011 0:00,-120.1230221,36.52391365
1924,S0425,Fresno Solar South,0,Fresno Cogeneration,Fresno,1.5,Unit 1,SUN,10/1/2015 0:00,-120.1017409,36.61606171
1925,S0426,Fresno Solar West,0,Fresno Cogeneration,Fresno,1.5,Unit 1,SUN,10/1/2015 0:00,-120.1044729,36.61700367
1926,S0654,Summer Wheat,0,"GASNA 36P, LLC",San Joaquin,18.5,Unit 1,SUN,12/10/2018 0:00,-120.1494635,36.5255443
1927,G0384,Fresno Cogeneration Partners  LP,0,Fresno Cogeneration Partners,Fresno,83.25,"UNIT 1, UNIT 2, UNIT 4",NG,12/1/1989 0:00,-120.0994182,36.61708711
1928,S9012,Golden State Vintners,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,-119.9221195,36.67210281
1929,S9085,Fowler Packing Company Inc.,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,-119.7524413,36.61349306
1930,S9086,Fowler Packing Company Inc.,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,-119.7539499,36.61345773
1931,S9034,Maxco Supply Inc.,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,-119.5233537,36.61173489
1932,S9181,Kingsburg Solar (1 & 2),0,Tulare PV I LLC,Fresno,3.7,"Unit 1, Unit 2",SUN,12/1/2013 0:00,-119.5719105,36.54617084
1933,S9190,Pristine Sun Fund 10 Fresno PGE LLC_(2102_Christensen),0,Not Available,Fresno,1,Unit 1,SUN,12/31/2013 0:00,-119.5734462,36.65444027
1934,G0286,Kingsburg Cogeneration,0,"KES Kingsburg LP, c/o Southwest Generation",Fresno,34.5,"GEN 1, GEN 2",NG,12/1/1990 0:00,-119.5797766,36.53951024
1935,S9320,ImModo California 1 LLC_(Alta 1),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,-119.3137674,36.54122095
1936,S9321,ImModo California 1 LLC_(Alta 3),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,-119.3137674,36.54122095
1937,S9322,ImModo California 1 LLC_(Alta 4),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,-119.3137674,36.54122095
1938,S9323,ImModo California 1 LLC_(Alta 5),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,-119.3137674,36.54122095
1939,S9324,ImModo California 1 LLC_(Alta 6),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,-119.3137674,36.54122095
1940,S0302,Terzian,0,Pristine Sun LLC,Fresno,1.25,1,SUN,5/1/2014 0:00,-119.415533,36.66811523
1941,S9000,Ruiz Foods,0,Not Available,Tulare,1,1,SUN,1/1/2012 0:00,-119.3982813,36.53985992
1942,S9060,City of Dinuba,0,Not Available,Tulare,1,1,SUN,1/1/2012 0:00,-119.4261038,36.53839245
1943,E0033,Dinuba Energy,0,Community Renewable Energy Services Inc,Tulare,13,"1, DSPV",WSD,7/1/2003 0:00,-119.4185183,36.56980191
1944,H0261,Kaweah 3,0,Southern California Edison (SCE),Tulare,4.8,1,WAT,5/1/1913 0:00,-118.8354276,36.48605103
1945,S0621,Monterey Regional Water Pollution Control Agency,0,Tesla Inc.,Monterey,1.12,939009-CA,SUN,12/21/2010 0:00,-121.7688723,36.70818389
1946,S9042,Pollution Control Monterey Reg'l Water,0,Not Available,Monterey,1,1,SUN,1/1/2012 0:00,-121.801017,36.693303
1947,E0055,Monterey Regional Water Pollution Control Cogen,0,MRWPCA,Monterey,1.74,"Unit 1, Unit 2, Unit 3",LFG,1/1/1991 0:00,-121.7678373,36.70631052
1948,E0135,Marina Landfill Gas (Monterey Regional Waste Management Dst),0,Monterey Regional Waste Mgmt Dist,Monterey,5.6,"G4, LL1, U1, U2, U3, U4",LFG,3/1/1997 0:00,-121.7677217,36.71377848
1949,G0372,Moss Landing Power Plant,0,Duke Energy Moss Landing & Oakland LLC,Monterey,2484,"1-GT1, 1-GT2, 1-ST, 2-GT1, 2-GT2, 2-ST, 6, 7",NG,7/1/2002 0:00,-121.7826983,36.80471529
1950,G0589,Sunnyside Cogeneration Partners LP (Retired December 2008),1,Ridgewood Power Management LLC,Monterey,6.5,Gen 1-5,NG,5/1/1991 0:00,-121.6748159,36.73647899
1951,E0144,Salinas - Closed August 2009,1,Pacific Recovery Corp,Monterey,1.5,1,LFG,12/1/1986 0:00,-121.6155938,36.80181287
1952,S0304,San Benito Smart Park,0,Bay4 Energy Services LLC,San Benito,2,1,SUN,5/31/2014 0:00,-121.4041767,36.83290358
1953,S0387,Enerparc CA1 LLC,0,"RC Energy Hollister, LLC",San Benito,1.5,Unit 1,SUN,6/16/2014 0:00,-121.4038485,36.83130072
1954,S0428,Hollister Solar,0,Hollister Solar LLC,San Benito,1.5,Unit 1,SUN,4/1/2015 0:00,-121.4290222,36.86331353
1955,S9061,City of Hollister,0,Not Available,San Benito,1,1,SUN,1/1/2012 0:00,-121.4459151,36.85717627
1956,S0341,North Star Solar,0,North Star Solar LLC,Fresno,61.6,NSS1,SUN,6/19/2015 0:00,-120.4176278,36.73024322
1957,S0423,Citizen Solar B,0,S-Power (Sustainable Power Group),Fresno,5,Unit 1,SUN,11/24/2015 0:00,-120.4297798,36.72189259
1958,S0121,CalRENEW-1,0,Meridian Energy USA Inc,Fresno,5,CR1,SUN,4/9/2010 0:00,-120.3658769,36.76047364
1959,E0050,Madera Power (offline 3/28/2012 - repowered 2013),0,Madera Power LLC,Madera,25,1,WDS,6/1/2001 0:00,-120.3390122,36.8615065
1960,E0052,Covanta Mendota LP,0,Clean Energy Systems,Fresno,53,"1, Main",WDS,7/1/1989 0:00,-120.365369,36.7558187
1961,S0703,Little Bear Solar 1,0,Longroad Energy,Fresno,40,Unit 1,SUN,12/16/2020 0:00,-120.3994423,36.71717755
1962,S0704,Little Bear Solar 3,0,Longroad Energy,Fresno,20,Unit 1,SUN,12/14/2020 0:00,-120.3929664,36.71654785
1963,S0705,Little Bear Solar 4,0,Longroad Energy,Fresno,50,Unit 1,SUN,12/14/2020 0:00,-120.4100694,36.71724497
1964,S0706,Little Bear Solar 5,0,Longroad Energy,Fresno,50,Unit 1,SUN,12/16/2020 0:00,-120.4000314,36.71152211
1965,S0179,La Joya Del Sol,0,X-Elio North America Inc.,Fresno,1.5,1,SUN,10/31/2012 0:00,-119.7975231,36.67853392
1966,S0658,Clovis USD High School,0,Tesla Inc.,Fresno,1.01,Unit 1,SUN,6/14/2018 0:00,-119.6803967,36.81625535
1967,S9014,Grundfos Pumps,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,-119.6883561,36.77643502
1968,S9020,The Gap Inc,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,-119.7132087,36.7837357
1969,S9026,CA State University Fresno,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,-119.741645,36.81015758
1970,S9056,E&J Gallo Winery,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,-119.6978551,36.7638769
1971,S9126,Olam West Coast,0,Not Available,Fresno,1.4,1,SUN,1/1/2012 0:00,-119.8462202,36.83863512
1972,S9143,Wawona Frozen Foods / Alluvial Project,0,Not Available,Fresno,2.2,1,SUN,1/1/2012 0:00,-119.7116396,36.83912036
1973,S9144,Wawona Frozen Foods / Cedar Project,0,Not Available,Fresno,2.2,1,SUN,1/1/2012 0:00,-119.7534191,36.71559839
1974,S9145,City of Fresno - Fresno Yosemite Airport,0,Not Available,Fresno,2.3,1,SUN,1/1/2012 0:00,-119.7100647,36.7676541
1975,E0098,Rio Bravo Fresno,0,IHI Power Services Corp,Fresno,24.3,Unit 1,WDS,7/1/1988 0:00,-119.7230997,36.68883395
1976,G0220,Malaga Peaking Plant,0,Malaga Power LLC,Fresno,98,"1, 2",NG,6/1/2005 0:00,-119.7404123,36.6898395
1977,G0518,Saint Agnes Medical Center,0,Saint Agnes Medical Center,Fresno,10.5,"1, 1&2",NG,4/1/2001 0:00,-119.7668391,36.83440323
1978,S0632,Sanger USD Sanger High School,0,Tesla Inc.,Fresno,1.07,9366485-CA,SUN,1/27/2017 0:00,-119.5768756,36.70012759
1979,S0659,Clovis USD East High School,0,Tesla Inc.,Fresno,1.01,Unit 1,SUN,4/15/2018 0:00,-119.6377839,36.79862682
1980,G0536,Algonquin Power Sanger LLC,0,Algonquin Power Sanger LLC,Fresno,39.8,"GTG, STG",NG,11/1/1990 0:00,-119.5530949,36.68418554
1981,H0387,Pine Flat,0,Kings River Conservation District,Fresno,165,"Unit 1, Unit 2, Unit 3",WAT,1/1/1984 0:00,-119.3273736,36.83250995
1982,S9124,City of Santa Cruz Wastewater Treatment Plant,0,Not Available,Santa Cruz,1.3,1,SUN,1/1/2012 0:00,-122.0308061,36.96173369
1983,E0132,Santa Cruz Energy LLC,0,OPAL Fuels,Santa Cruz,1.6,GEN 1,LFG,11/21/2009 0:00,-122.1055464,36.97360284
1984,G0541,UC Santa Cruz Cogeneration,0,UC Santa Cruz,Santa Cruz,7.33,"Fackler, PE, Unit 1",NG,8/1/2015 0:00,-122.0616647,36.99892945
1985,G0661,Watsonville - (Non-Operational May 2011),1,Calpine Monterey Cogeneration Inc,Santa Cruz,30.8,"WV1JT1, WV1ST1",NG,5/1/1990 0:00,-121.7686791,36.91132006
1986,E0214,Ameresco Santa Cruz Energy,0,Ameresco Inc,Santa Cruz,3.18,"Unit 1, Unit 2, Unit 3",LFG,2/2/2006 0:00,-121.8114288,36.91450383
1987,S9111,Indalex West Inc.  ABANDONED,1,Not Available,Santa Cruz,1.2,1,SUN,1/1/2012 0:00,-121.7780051,36.89564183
1988,G0229,Gilroy Cogen Plant,0,"Calpine Gilroy Cogen, L.P.",Santa Clara,123.4,"GI1CT1, GI1ST1",NG,3/1/1988 0:00,-121.5366669,37.00016642
1989,G0822,Gilroy Peaker,0,"Gilroy Energy Center, LLC",Santa Clara,141.9,"GI2JT1, GI2JT2, GI2JT3",NG,2/1/2002 0:00,-121.5361814,36.99915073
1990,W0354,International Turbine Research Inc.,0,International Turbine Research,Merced,18.43,WPRS 1,WND,6/14/1988 0:00,-121.1807197,37.05178739
1991,S0691,Wright Solar,0,Clenera - Renewable Energy,Merced,200,W8785,SUN,1/3/2020 0:00,-121.0902446,36.97454039
1992,S0337,Vega Solar,0,Longroad Energy,Merced,20,1,SUN,3/24/2015 0:00,-120.8057779,36.92846232
1993,S9046,Almond Process Parreira,0,Not Available,Merced,1,1,SUN,1/1/2012 0:00,-120.8709897,36.979871
1994,S0586,CED Oro Loma 1 & 2,0,CED California Holdings LLC,Fresno,20,Unit 1,SUN,1/26/2017 0:00,-120.6695103,36.87851814
1995,S9048,City of Madera,0,Not Available,Madera,1,1,SUN,1/1/2012 0:00,-120.1567313,36.94075936
1996,S9059,Madera Community Hospital,0,Not Available,Madera,1,1,SUN,1/1/2012 0:00,-120.0461937,36.94137351
1997,H0198,Friant-Kern Hydro Facility (River Outlet  Madera Canal  F-K),0,Friant Power Authority,Madera,30.57,"FR1, M1, RO1",WAT,1/1/1986 0:00,-119.7034413,36.99768642
1998,H0626,Quinten Luallen,0,Friant Power Authority,Madera,7.38,RO2,WAT,5/23/2017 0:00,-119.7070897,37.00246852
1999,H0272,Kings River,0,Pacific Gas & Electric (PG&E),Fresno,52,Unit 597,WAT,3/7/1962 0:00,-119.1587471,36.8881288
2000,H0019,Balch #1,0,Pacific Gas & Electric (PG&E),Fresno,34,Unit 587,WAT,2/20/1927 0:00,-119.0877984,36.90908623
2001,H0020,Balch #2,0,Pacific Gas & Electric (PG&E),Fresno,108,"Unit 588, Unit 589",WAT,11/26/1958 0:00,-119.0875575,36.90888501
2002,H0215,Haas,0,Pacific Gas & Electric (PG&E),Fresno,144,"Unit 591, Unit 592",WAT,12/23/1958 0:00,-119.020159,36.92743548
2003,H0229,Helms (Pumped Storage),0,Pacific Gas & Electric (PG&E),Fresno,1212,"Unit 936, Unit 937, Unit 938",WAT,6/30/1984 0:00,-118.968288,37.02934334
2004,H0142,Division Creek,0,Los Angeles Department of Water & Power (LADWP),Inyo,0.65,1,WAT,3/1/1909 0:00,-118.2826035,36.9395073
2005,G0986,Backup Generation - Navy Regional Data Automation Center,1,Navy Public Works,San Diego,2.4,1TG,NG,1/1/1988 0:00,-117.2033242,32.70235954
2006,E0120,Guadalupe Power Plant (Retired 2013),1,OPAL Fuels,Santa Clara,2.6,"Unit 1, Unit 2, Unit 3, Unit 4",LFG,4/1/1984 0:00,-121.8953342,37.21435989
2007,G0794,Metcalf Energy Center,0,"Metcalf Energy Center, LLC",Santa Clara,565.8,"MF1CT1, MF1CT2, MF1ST1",NG,6/1/2005 0:00,-121.745992,37.22075882
2008,S9041,Unified School District Morgan Hill,0,Not Available,Santa Clara,1,1,SUN,1/1/2012 0:00,-121.6353827,37.14906629
2009,H0363,O'Neill (Pumping-Generating),0,United States Bureau of Reclamation,Merced,25.2,"UNIT 1, UNIT 2, UNIT 3, UNIT 4, UNIT 5, UNIT 6",WAT,1/1/1968 0:00,-121.0171989,37.08730796
2010,H0452,W R Gianelli (Pumping-Generating),0,California Department of Water Resources,Merced,424,"1, 2, 3, 4, 5, 6, 7, 8",WAT,6/1/1968 0:00,-121.0772668,37.06909476
2011,S0443,Quinto Solar PV Project,0,CD Arevon USA Inc.,Merced,108,Unit 1,SUN,11/25/2015 0:00,-121.0476578,37.11933112
2012,S9050,Ingomar Packing Co.,0,Not Available,Merced,1,1,SUN,1/1/2012 0:00,-120.9587015,37.1498004
2013,S0437,"Sun Harvest Solar NDP1
",0,SunHarvest Solar,Merced,1.5,Unit 1,SUN,5/1/2015 0:00,-120.6485377,37.05827445
2014,E0007,Merced Power (El Nido),0,Global Ampersand LLC,Merced,12.5,Unit 1,WDS,8/15/2008 0:00,-120.4904926,37.18699806
2015,G0896,Chowchilla II Peaker,0,California Power Holdings LLC,Madera,48,"Unit 1, Unit 10, Unit 11, Unit 12, Unit 13, Unit 14, Unit 15, Unit 16, Unit 2, Unit 3, Unit 4, Unit 5, Unit 6, Unit 7, Unit 8, Unit 9",NG,7/1/2001 0:00,-120.2483277,37.10857678
2016,S0421,Adera Solar,0,Adera Solar LLC,Madera,20,Unit 1,SUN,12/1/2015 0:00,-120.323967,37.12104241
2017,E0018,Chowchilla II Biomass,0,Global Ampersand LLC,Madera,12.5,Unit 1,WDS,5/15/2008 0:00,-120.2488268,37.10692033
2018,S9164,CA Dept of Corrections Chowchilla,0,Not Available,Madera,3,1,SUN,1/1/2013 0:00,-120.1513192,37.08819051
2019,H0310,Madera Canal (Station 980  1174  1302  1923),0,Madera-Chowchilla Water Power Authority,Madera,3.74,980,WAT,2/1/1985 0:00,-119.8996402,37.05680053
2020,H0034,Big Creek 4,0,Southern California Edison (SCE),Madera,100,1,WAT,9/1/1923 0:00,-119.4900117,37.13904825
2021,H0265,Kerckhoff PH 1,0,Pacific Gas & Electric (PG&E),Fresno,33.7,"Unit 593, Unit 594, Unit 595",WAT,8/15/1920 0:00,-119.5527755,37.09246406
2022,H0266,Kerckhoff PH 2,0,Pacific Gas & Electric (PG&E),Fresno,155,Unit 932,WAT,5/6/1983 0:00,-119.5582416,37.07185297
2023,H0448,San Joaquin #1A,0,Pacific Gas & Electric (PG&E),Madera,0.43,1,WAT,3/1/1919 0:00,-119.4940159,37.15888325
2024,H0449,San Joaquin #2,0,Pacific Gas & Electric (PG&E),Madera,2.88,1,WAT,9/1/1917 0:00,-119.4974628,37.20326503
2025,H0570,Wishon Powerhouse,0,Pacific Gas & Electric (PG&E),Madera,12.8,"1, 2, 3, 4",WAT,9/1/1910 0:00,-119.5047187,37.15101782
2026,H0028,Big Creek 2,0,Southern California Edison (SCE),Fresno,67.1,UNIT 1,WAT,11/26/1913 0:00,-119.3054651,37.19912318
2027,H0030,Big Creek 2A,0,Southern California Edison (SCE),Fresno,98.5,UNIT 1,WAT,8/1/1928 0:00,-119.3061212,37.19884872
2028,H0032,Big Creek 3,0,Southern California Edison (SCE),Fresno,177,UNIT 1,WAT,9/1/1923 0:00,-119.3864397,37.14856523
2029,H0036,Big Creek 8,0,Southern California Edison (SCE),Fresno,64.5,UNIT 1,WAT,1/1/1921 0:00,-119.3288572,37.2096453
2030,H0313,Mammoth Pool,0,Southern California Edison (SCE),Madera,187,UNIT 1,WAT,3/1/1960 0:00,-119.3379096,37.22025922
2031,H0027,Big Creek 1,0,Southern California Edison (SCE),Fresno,82.9,UNIT 1,WAT,11/1/1913 0:00,-119.2396923,37.20405923
2032,H0161,Eastwood (Pumped Storage),0,Southern California Edison (SCE),Fresno,199,UNIT 1,WAT,1/1/1988 0:00,-119.2566818,37.14783118
2033,H0040,Big Pine,0,Los Angeles Department of Water & Power (LADWP),Inyo,3.2,Unit 1,WAT,7/1/1925 0:00,-118.3242248,37.14216158
2034,S9135,Foothill - De Anza Community College District,0,Not Available,Santa Clara,1.6,1,SUN,1/1/2012 0:00,-122.1247383,37.36314218
2035,S9136,Foothill College - Pv Capstone,0,Not Available,Santa Clara,1.7,1,SUN,1/1/2012 0:00,-122.1302887,37.36369178
2036,G0080,Cardinal Cogen - Retired 3/31/2015,1,Cardinal Cogen,Santa Clara,52.8,"GTG1, STG1",NG,12/1/1987 0:00,-122.1757743,37.42993592
2037,G1047,San Jose-Santa Clara Regional Wastewater Facility,0,City of San Jose,Santa Clara,25.8,"CE-1, CE-2, CE-3, CE-4, E-2, E-3, E-5, EG-1, EG-2, EG-3",NG,8/10/2020 0:00,-121.9430141,37.43407883
2038,S9005,Google Inc.,0,Not Available,Santa Clara,1,1,SUN,1/1/2012 0:00,-122.0840426,37.4224406
2039,S9031,Google Inc.,0,Not Available,Santa Clara,1,1,SUN,1/1/2012 0:00,-122.0844774,37.42144824
2040,S9058,West Valley Mission Community College,0,Not Available,Santa Clara,1,1,SUN,1/1/2012 0:00,-122.0128283,37.26429493
2041,S9069,Network Appliance/Chevron Energy Solutions,0,Not Available,Santa Clara,1,1,SUN,1/1/2012 0:00,-122.0261095,37.4151352
2042,S9075,Applied Materials Inc.,0,Not Available,Santa Clara,1,1,SUN,1/1/2012 0:00,-122.0044728,37.3800204
2043,S9081,Ohlone Community College District,0,Not Available,Santa Clara,1,1,SUN,1/1/2012 0:00,-121.9806871,37.4113706
2044,S9128,Network Appliance,0,Not Available,Santa Clara,1.4,1,SUN,1/1/2012 0:00,-122.0261552,37.4159534
2045,S9134,City of Sunnyvale Wastewater Treatment Plant,0,Not Available,Santa Clara,1.6,1,SUN,1/1/2012 0:00,-122.034921,37.42260736
2046,S9149,Advanced Micro Decives,0,Not Available,Santa Clara,3,1,SUN,1/1/2012 0:00,-121.9992026,37.38657084
2047,S9151,Spansion LLC,0,Not Available,Santa Clara,3,1,SUN,1/1/2012 0:00,-122.0055474,37.37747951
2048,E0181,Sunnyvale Water Pollution Control Plant,0,City of Sunnyvale Water Pollution Control Plant,Santa Clara,1.6,"S-14, S-15",LFG,7/1/1997 0:00,-122.0150818,37.4184805
